Campaign,Ad Group,Max CPC,Ad Group Type,Status
"Property Taxes & Assessments – Informational","What happens after filing a tax appeal?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","Can property taxes be deferred?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","What is a tax-defaulted property?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","How property tax penalties work",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","How to read a property tax bill",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","What exemptions reduce property taxes?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","What happens after tax sale?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","Property tax vs special assessments",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","How inheritance affects property taxes",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","Proposition 13 explained (procedural)",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Who pays for fence repairs between neighbors?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Who is responsible for sidewalk injuries?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Does homeowners insurance cover water leaks?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Who pays for sewer line repairs?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","What happens if unpermitted work is discovered?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Who is liable for tree damage?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Shared driveway maintenance rules",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","What is normal wear and tear?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Mold liability between parties",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","What happens if contractor damages property?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Can homeowner be sued for injuries?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","What happens after a code violation notice?",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","How building permits affect resale",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Boundary disputes explained",0.38,"Standard","Enabled"
"Maintenance, Liability & Disputes – Informational","Easement disputes explained",0.38,"Standard","Enabled"
